title,description,size,availability,price,category,shop,height,width
Банкетка медицинская МД Б (Слоновая кость),"
ВхШхГ, мм: 450х1500х450
Вес, кг: 15.3
",['450х1500х450'],Есть в наличии,7 040 руб.,,3,,
Банкетка БМВ-01С,"
ВхШхГ, мм: 830х1500х510
Вес, кг: 25
",['830х1500х510'],Есть в наличии,10 780 руб.,,3,,
Банкетка медицинская МСК-207 (БЛ-МСК),"
ВхШхГ, мм: 400х1500х440
Вес, кг: 14
",['400х1500х440'],Нет в наличии,5 660 руб.,,3,,
Банкетка медицинская со спинкой МД БС (Слоновая кость),"
ВхШхГ, мм: 840х1500х500
Вес, кг: 22.1
",['840х1500х500'],Есть в наличии,10 660 руб.,,3,,
Банкетка БМВ-01,"
ВхШхГ, мм: 430х1500х450
Вес, кг: 15
",['430х1500х450'],Есть в наличии,7 170 руб.,,3,,
Банкетка медицинская МСК-216 (БЛ-МСК),"
ВхШхГ, мм: 440х1150х400
Вес, кг: 11
",['440х1150х400'],Нет в наличии,4 870 руб.,,3,,
"Банкетка двухместная БСУ-2х (кожзам Эконом белый, каркас белый)","
ВхШхГ, мм: 450х1000х380
",['450х1000х380'],Есть в наличии,5 170 руб.,,3,,
"Банкетка двухместная Бп-2х (кожзам Эконом коричневый, каркас бежевый)","
ВхШхГ, мм: 450х1000х380
",['450х1000х380'],Есть в наличии,6 120 руб.,,3,,
"Банкетка трехместная Бп-3х (кожзам Эконом коричневый, каркас бежевый)","
ВхШхГ, мм: 450х1500х380
",['450х1500х380'],Есть в наличии,8 060 руб.,,3,,
"Банкетка трехместная БУ-3х (кожзам Эконом светло-серый, каркас белый)","
ВхШхГ, мм: 530х1500х380
",['530х1500х380'],Есть в наличии,7 520 руб.,,3,,
Банкетка медицинская металлическая,"
ВхШхГ, мм: 450х420х1420
Вес, кг: 15
",['450х420х1420'],Есть в наличии,9 460 руб.,,3,,
Банкетка медицинская МСК-208 (БЛ-МСК),"
ВхШхГ, мм: 830х1500х500
Вес, кг: 20
",['830х1500х500'],Нет в наличии,8 230 руб.,,3,,
Банкетка медицинская Б01 (Чёрный),"
ВхШхГ, мм: 450х980х415
Вес, кг: 8
",['450х980х415'],Есть в наличии,6 110 руб.,,3,,
Банкетка медицинская со спинкой БС01 (Чёрный),"
ВхШхГ, мм: 450х1000х490
Вес, кг: 13
",['450х1000х490'],Есть в наличии,10 170 руб.,,3,,
Банкетка медицинская 4Hospitals МСК-239 (БМ-МСК),"
ВхШхГ, мм: 400х1500х400
Вес, кг: 22
",['400х1500х400'],Нет в наличии,7 140 руб.,,3,,
Диван медицинский (банкетка) Д01 (Чёрный),"
ВхШхГ, мм: 450х1080х510
Вес, кг: 18
",['450х1080х510'],Есть в наличии,12 630 руб.,,3,,
Банкетка медицинская 4Hospitals МСК-240 (БМС-МСК),"
ВхШхГ, мм: 830х1500х500
Вес, кг: 20
",['830х1500х500'],Нет в наличии,10 390 руб.,,3,,
Банкетка одноместная БО-2/1 (кожзам Эконом белый),"
ВхШхГ, мм: 430х600х500
",['430х600х500'],Есть в наличии,10 050 руб.,,3,,
"Банкетка двухместная БО-3/2 (кожзам Эконом белый, каркас черный)","
ВхШхГ, мм: 500х1500х500
",['500х1500х500'],Есть в наличии,14 200 руб.,,3,,
"Банкетка одноместная БО-3/1 (кожзам Эконом белый, каркас белый)","
ВхШхГ, мм: 500х1000х500
",['500х1000х500'],Есть в наличии,9 580 руб.,,3,,
Диван модульный БС-3х + ДО-8/5 правый угол (кожзам Эконом белый),"
ВхШхГ, мм: 780х2310х630
",['780х2310х630'],Есть в наличии,47 990 руб.,,3,,
"Банкетка двухместная БО-4/2 (кожзам Эконом белый, каркас черный)","
ВхШхГ, мм: 450х1250х450
",['450х1250х450'],Есть в наличии,18 130 руб.,,3,,
"Банкетка трехместная БСУ-3х (кожзам Эконом белый, каркас белый)","
ВхШхГ, мм: 450х1500х380
",['450х1500х380'],Есть в наличии,6 770 руб.,,3,,
"Банкетка двухместная БУ-2х (кожзам Эконом светло-серый, каркас белый)","
ВхШхГ, мм: 530х1000х380
",['530х1000х380'],Есть в наличии,6 020 руб.,,3,,
"Банкетка двухместная БМ-2х (кожзам Эконом светло-серый, каркас белый)","
ВхШхГ, мм: 850х1000х570
",['850х1000х570'],Есть в наличии,8 380 руб.,,3,,
"Банкетка трехместная БМ-3х (кожзам Эконом светло-серый, каркас белый)","
ВхШхГ, мм: 850х1500х570
",['850х1500х570'],Есть в наличии,9 560 руб.,,3,,
"Банкетка двухместная БМ/1-2х (кожзам Эконом бежевый, каркас бежевый)","
ВхШхГ, мм: 450х900х500
",['450х900х500'],Есть в наличии,8 910 руб.,,3,,
"Банкетка трехместная БМ/1-3х (кожзам Эконом бежевый, каркас бежевый)","
ВхШхГ, мм: 450х1350х500
",['450х1350х500'],Есть в наличии,11 600 руб.,,3,,
Банкетка одноместная БО-1/1 (кожзам Эконом белый),"
ВхШхГ, мм: 430х700х500
",['430х700х500'],Есть в наличии,15 710 руб.,,3,,
Банкетка двухместная БО-1/2 (кожзам Эконом белый),"
ВхШхГ, мм: 430х1400х500
",['430х1400х500'],Есть в наличии,24 590 руб.,,3,,
Банкетка трехместная Б-3х (кожзам Эконом белый),"
ВхШхГ, мм: 780х1600х630
",['780х1600х630'],Есть в наличии,26 890 руб.,,3,,
"Диван одноместный Д-1 (кожзам Эконом светло-серый, каркас белый)","
ВхШхГ, мм: 880х600х600
",['880х600х600'],Есть в наличии,13 680 руб.,,3,,
"Диван двухместный Д-2 (кожзам Эконом белый, каркас белый)","
ВхШхГ, мм: 880х1140х600
",['880х1140х600'],Есть в наличии,24 480 руб.,,3,,
"Диван трехместный Д-3 (кожзам Эконом коричневый, каркас бежевый)","
ВхШхГ, мм: 880х1690х600
",['880х1690х600'],Есть в наличии,34 270 руб.,,3,,
"Диван двухместный ДУ-2х (кожзам Эконом коричневый, каркас бежевый)","
ВхШхГ, мм: 800х1060х500
",['800х1060х500'],Есть в наличии,16 630 руб.,,3,,
"Диван трехместный ДУ-3х (кожзам Эконом бежевый, каркас бежевый)","
ВхШхГ, мм: 800х1560х500
",['800х1560х500'],Есть в наличии,19 240 руб.,,3,,
Диван-кресло ДО-1/1 (кожзам Эконом бежевый),"
ВхШхГ, мм: 910х600х700
",['910х600х700'],Есть в наличии,22 750 руб.,,3,,
"Диван-кресло ДО-2/1 (кожзам Эконом коричневый, каркас черный)","
ВхШхГ, мм: 855х700х670
",['855х700х670'],Есть в наличии,27 660 руб.,,3,,
"Диван двухместный ДО-2/2 (кожзам Эконом коричневый, каркас черный)","
ВхШхГ, мм: 855х1400х670
",['855х1400х670'],Есть в наличии,36 820 руб.,,3,,
"Диван трехместный ДО-2/3 (кожзам Эконом коричневый, каркас черный)","
ВхШхГ, мм: 855х1800х670
",['855х1800х670'],Есть в наличии,43 320 руб.,,3,,
"Диван-кресло ДО-3/1 (кожзам Эконом коричневый, каркас черный)","
ВхШхГ, мм: 910
",[],Есть в наличии,19 350 руб.,,3,,
"Диван двухместный ДО-3/2 (кожзам Эконом коричневый, каркас черный)","
ВхШхГ, мм: 910х1240х700
",['910х1240х700'],Есть в наличии,31 040 руб.,,3,,
Диван-кресло ДО-4/1 (кожзам Эконом белый),"
ВхШхГ, мм: 910х600х700
",['910х600х700'],Есть в наличии,23 320 руб.,,3,,
Диван двухместный ДО-4/2 (кожзам Эконом белый),"
ВхШхГ, мм: 910х1200х700
",['910х1200х700'],Есть в наличии,35 840 руб.,,3,,
"Диван-кресло ДО-5/1 (кожзам Эконом серый, каркас серый)","
ВхШхГ, мм: 820х780х600
",['820х780х600'],Есть в наличии,19 890 руб.,,3,,
"Диван двухместный ДО-5/2 (кожзам Эконом коричневый, каркас серый)","
ВхШхГ, мм: 820х1380х600
",['820х1380х600'],Есть в наличии,31 200 руб.,,3,,
"Диван трехместный ДО-5/3 (кожзам Эконом белый, каркас серый)","
ВхШхГ, мм: 820х1780х600
",['820х1780х600'],Есть в наличии,40 750 руб.,,3,,
"Диван-кресло ДО-6/1 (кожзам Эконом серый, каркас серый)","
ВхШхГ, мм: 820х600х800
",['820х600х800'],Есть в наличии,20 530 руб.,,3,,
"Диван двухместный ДО-6/2 (кожзам Эконом бежевый, каркас серый)","
ВхШхГ, мм: 820х1200х800
",['820х1200х800'],Есть в наличии,32 000 руб.,,3,,
"Диван трехместный ДО-6/3 (кожзам Эконом белый, каркас серый)","
ВхШхГ, мм: 820х1800х800
",['820х1800х800'],Есть в наличии,41 070 руб.,,3,,
Диван-кресло ДО-7/1 (кожзам Эконом белый),"
ВхШхГ, мм: 750х780х700
",['750х780х700'],Есть в наличии,25 310 руб.,,3,,
"Диван двухместный ДО-7/2/3 (кожзам Эконом белый, каркас серый)","
ВхШхГ, мм: 850х1200х780
",['850х1200х780'],Есть в наличии,41 840 руб.,,3,,
Диван-кресло ДО-9/1 (кожзам Эконом бежевый),"
ВхШхГ, мм: 830х710х720
",['830х710х720'],Есть в наличии,24 230 руб.,,3,,
Диван-кресло ДО-10/1 (кожзам Эконом белый),"
ВхШхГ, мм: 830х730х650
",['830х730х650'],Есть в наличии,27 490 руб.,,3,,
Диван-кресло ДО-11/1 (кожзам Эконом белый),"
ВхШхГ, мм: 835х650х800
",['835х650х800'],Есть в наличии,24 640 руб.,,3,,
Диван двухместный ДО-11/2 (кожзам Эконом белый),"
ВхШхГ, мм: 835х1280х800
",['835х1280х800'],Есть в наличии,33 120 руб.,,3,,
Диван-кресло ДО-12/1 (кожзам Эконом коричневый),"
ВхШхГ, мм: 635х810х720
",['635х810х720'],Есть в наличии,31 220 руб.,,3,,
Диван-кресло ДМ-1 (кожзам Эконом белый),"
ВхШхГ, мм: 910х600х715
",['910х600х715'],Есть в наличии,17 880 руб.,,3,,
Диван двухместный ДМ-2 (кожзам Эконом белый),"
ВхШхГ, мм: 910х1200х715
",['910х1200х715'],Есть в наличии,32 600 руб.,,3,,
Диван внутренний угол ДМв (кожзам Эконом белый),"
ВхШхГ, мм: 910х715х715
",['910х715х715'],Есть в наличии,32 330 руб.,,3,,
Диван наружный угол ДМн (кожзам Эконом белый),"
ВхШхГ, мм: 910х715х715
",['910х715х715'],Есть в наличии,22 090 руб.,,3,,
Диван для зон ожидания Д03 (Чёрный),"
ВхШхГ, мм: 900х1150х650
Вес, кг: 25
",['900х1150х650'],Есть в наличии,24 850 руб.,,3,,
Диван для ожидания Д05-1 (Чёрный),"
ВхШхГ, мм: 470х600х600
",['470х600х600'],Есть в наличии,11 300 руб.,,3,,
Диван для ожидания Д05 (Чёрный),"
ВхШхГ, мм: 470х1100х600
",['470х1100х600'],Есть в наличии,21 940 руб.,,3,,
Диван для ожидания Д06 (Чёрный),"
ВхШхГ, мм: 470х1600х600
",['470х1600х600'],Есть в наличии,30 320 руб.,,3,,
Банкетка двухместная БО-2/2 (кожзам Эконом белый),"
ВхШхГ, мм: 430х1200х500
",['430х1200х500'],Есть в наличии,19 330 руб.,,3,,
Банкетка трехместная БО-2/3 (кожзам Эконом белый),"
ВхШхГ, мм: 430х1800х500
",['430х1800х500'],Есть в наличии,28 820 руб.,,3,,
"Банкетка трехместная БО-3/3 (кожзам Эконом белый, каркас светло-серый)","
ВхШхГ, мм: 500х1800х500
",['500х1800х500'],Есть в наличии,18 550 руб.,,3,,
Банкетка одноместная БО-5/1 (кожзам Эконом черный),"
ВхШхГ, мм: 460х630х630
",['460х630х630'],Есть в наличии,8 830 руб.,,3,,
Банкетка двухместная БО-5/2 (кожзам Эконом черный),"
ВхШхГ, мм: 460х1260х630
",['460х1260х630'],Есть в наличии,17 390 руб.,,3,,
Диван-кресло одноместный ДО-8/1 (кожзам Эконом белый),"
ВхШхГ, мм: 780х630х630
",['780х630х630'],Есть в наличии,16 790 руб.,,3,,
Диван трехместный ДО-8/3 (кожзам Эконом белый),"
ВхШхГ, мм: 780х1680х630
",['780х1680х630'],Есть в наличии,33 270 руб.,,3,,
Банкетка трехместная БО-5/3 (кожзам Эконом черный),"
ВхШхГ, мм: 460х1680х630
",['460х1680х630'],Есть в наличии,21 450 руб.,,3,,
Банкетка одноместная Б-2х (кожзам Эконом белый),"
ВхШхГ, мм: 780х630х630
",['780х630х630'],Есть в наличии,12 360 руб.,,3,,
Банкетка двухместная БС-2х (кожзам Эконом белый),"
ВхШхГ, мм: 780х1260х630
",['780х1260х630'],Есть в наличии,19 600 руб.,,3,,
Банкетка трехместная БС-3х (кожзам Эконом белый),"
ВхШхГ, мм: 780х1680х630
",['780х1680х630'],Есть в наличии,24 350 руб.,,3,,
Диван-кресло одноместный ДО-8/4 (кожзам Эконом бежевый),"
ВхШхГ, мм: 780х630х630
",['780х630х630'],Есть в наличии,16 680 руб.,,3,,
Диван двухместный ДО-8/5 левый угол (кожзам Эконом белый),"
ВхШхГ, мм: 780х1260х630
",['780х1260х630'],Есть в наличии,23 640 руб.,,3,,
Диван двухместный ДО-8/5 правый угол (кожзам Эконом белый),"
ВхШхГ, мм: 780х1260х630
",['780х1260х630'],Есть в наличии,23 640 руб.,,3,,
Диван трехместный ДО-8/6 левый угол (кожзам Эконом коричневый),"
ВхШхГ, мм: 780х1680х630
",['780х1680х630'],Есть в наличии,27 590 руб.,,3,,
Диван трехместный ДО-8/6 правый угол (кожзам Эконом белый),"
ВхШхГ, мм: 780х1680х630
",['780х1680х630'],Есть в наличии,27 590 руб.,,3,,
Диван модульный БС-3х + ДО-8/5 левый угол (кожзам Эконом белый),"
ВхШхГ, мм: 780х2310х630
",['780х2310х630'],Есть в наличии,47 990 руб.,,3,,
Диван модульный БС-3х + ДО-8/4 + БС-3х (кожзам Эконом белый),"
ВхШхГ, мм: 780х2310х630
",['780х2310х630'],Есть в наличии,65 370 руб.,,3,,
Банкетка медицинская со спинкой,"
ВхШхГ, мм: 840х1420х550
Вес, кг: 5
",['840х1420х550'],Есть в наличии,12 100 руб.,,3,,
Банкетка трехместная БО-1/3 (кожзам Эконом белый),"
ВхШхГ, мм: 430х1700х500
",['430х1700х500'],Есть в наличии,29 310 руб.,,3,,
Скамья металлическая 2-х местная СКМ-2х (каркас белый),"
ВхШхГ, мм: 450х900х480
",['450х900х480'],Есть в наличии,9 530 руб.,,3,,
Скамья металлическая 3-х местная СКМ-3х (каркас белый),"
ВхШхГ, мм: 450х1350х480
",['450х1350х480'],Есть в наличии,13 670 руб.,,3,,
Скамья 2-х местная СКД-2х (каркас белый),"
ВхШхГ, мм: 450х900х480
",['450х900х480'],Есть в наличии,11 970 руб.,,3,,
Скамья 3-х местная СКД-3х (каркас белый),"
ВхШхГ, мм: 450х1350х480
",['450х1350х480'],Есть в наличии,15 810 руб.,,3,,
Диван двухместный ДО-1/2 (кожзам Эконом бежевый),"
ВхШхГ, мм: 910х1200х700
",['910х1200х700'],Есть в наличии,34 080 руб.,,3,,
Диван трехместный ДО-1/3 (кожзам Эконом бежевый),"
ВхШхГ, мм: 910х1800х700
",['910х1800х700'],Есть в наличии,47 460 руб.,,3,,
Диван трехместный ДО-1/3.1 с подлокотниками (кожзам Эконом бежевый),"
ВхШхГ, мм: 910х2000х700
",['910х2000х700'],Есть в наличии,56 390 руб.,,3,,
Диван трехместный ДО-4/3 (кожзам Эконом коричневый),"
ВхШхГ, мм: 910х1800х700
",['910х1800х700'],Есть в наличии,46 900 руб.,,3,,
Диван трехместный ДО-4/3.1 с подлокотниками (кожзам Эконом коричневый),"
ВхШхГ, мм: 910х2000х700
",['910х2000х700'],Есть в наличии,53 920 руб.,,3,,
Диван двухместный ДО-7/2 (кожзам Эконом белый),"
ВхШхГ, мм: 750х1370х700
",['750х1370х700'],Есть в наличии,32 600 руб.,,3,,
Диван двухместный ДО-7/3 (кожзам Эконом белый),"
ВхШхГ, мм: 910х1200х700
",['910х1200х700'],Есть в наличии,37 610 руб.,,3,,
Диван двухместный ДО-9/2 (кожзам Эконом бежевый),"
ВхШхГ, мм: 830х1280х720
",['830х1280х720'],Есть в наличии,33 110 руб.,,3,,
Диван двухместный ДО-9/3 (кожзам Эконом белый),"
ВхШхГ, мм: 790х1430х800
",['790х1430х800'],Есть в наличии,40 670 руб.,,3,,
Диван двухместный ДО-10/2 (кожзам Эконом белый),"
ВхШхГ, мм: 830х1280х650
",['830х1280х650'],Есть в наличии,38 860 руб.,,3,,
Диван трехместный ДО-10/3 (кожзам Эконом коричневый),"
ВхШхГ, мм: 830х1910х850
",['830х1910х850'],Есть в наличии,81 290 руб.,,3,,
Диван двухместный ДО-11/3 (кожзам Эконом коричневый),"
ВхШхГ, мм: 970х1280х910
",['970х1280х910'],Есть в наличии,49 740 руб.,,3,,
Диван двухместный ДО-12/2 (кожзам Эконом черный),"
ВхШхГ, мм: 635х1320х720
",['635х1320х720'],Есть в наличии,36 720 руб.,,3,,
Диван-кресло ДО-15/1 (кожзам Эконом черный),"
ВхШхГ, мм: 750х1010х910
",['750х1010х910'],Есть в наличии,54 850 руб.,,3,,
Диван двухместный ДО-15/2 (кожзам Эконом коричневый),"
ВхШхГ, мм: 750х1640х910
",['750х1640х910'],Есть в наличии,67 990 руб.,,3,,
Диван двухместный ДО-15/3 (кожзам Эконом белый),"
ВхШхГ, мм: 750х2000х910
",['750х2000х910'],Есть в наличии,92 120 руб.,,3,,
Диван трехместный ДМ-3 (кожзам Эконом белый),"
ВхШхГ, мм: 910х1500х715
",['910х1500х715'],Есть в наличии,40 630 руб.,,3,,
Диван-книжка ДР-2 (кожзам Эконом коричневый),"
ВхШхГ, мм: 930х1900х900
",['930х1900х900'],Есть в наличии,49 270 руб.,,3,,
Диван-книжка раскладной ДР-2.1 с подлокотниками (кожзам Эконом коричневый),"
ВхШхГ, мм: 930х2100х900
",['930х2100х900'],Есть в наличии,58 340 руб.,,3,,
Диван раскладной одноместный ДР-1 с подлокотниками (кожзам Эконом белый),"
ВхШхГ, мм: 1030х940х1100
",['1030х940х1100'],Есть в наличии,46 560 руб.,,3,,
"Банкетка трехместная БО-4/3 (кожзам Эконом белый, каркас черный)","
ВхШхГ, мм: 450х1500х450
",['450х1500х450'],Есть в наличии,22 260 руб.,,3,,
Диван двухместный ДО-8/2 (кожзам Эконом белый),"
ВхШхГ, мм: 780х1260х630
",['780х1260х630'],Нет в наличии,По запросу,,3,,
Диван медицинский МСК-235 (ДМК-МСК),"
ВхШхГ, мм: 800х1500х560
Вес, кг: 22
",['800х1500х560'],Нет в наличии,15 030 руб.,,3,,
Диван медицинский МСК-235.01,"
ВхШхГ, мм: 800х1500х560
Вес, кг: 22
",['800х1500х560'],Нет в наличии,18 730 руб.,,3,,
Диван медицинский,"
ВхШхГ, мм: 450х600х1850
",['450х600х1850'],Есть в наличии,16 170 руб.,,3,,
Банкетка медицинская МД Б (Слоновая кость),"
ВхШхГ, мм: 450х1500х450
Вес, кг: 15.3
",['450х1500х450'],Есть в наличии,7 040 руб.,,3,,
Банкетка БМВ-01С,"
ВхШхГ, мм: 830х1500х510
Вес, кг: 25
",['830х1500х510'],Есть в наличии,10 780 руб.,,3,,
Банкетка медицинская МСК-207 (БЛ-МСК),"
ВхШхГ, мм: 400х1500х440
Вес, кг: 14
",['400х1500х440'],Нет в наличии,5 660 руб.,,3,,
Банкетка медицинская со спинкой МД БС (Слоновая кость),"
ВхШхГ, мм: 840х1500х500
Вес, кг: 22.1
",['840х1500х500'],Есть в наличии,10 660 руб.,,3,,
Банкетка БМВ-01,"
ВхШхГ, мм: 430х1500х450
Вес, кг: 15
",['430х1500х450'],Есть в наличии,7 170 руб.,,3,,
Банкетка медицинская МСК-216 (БЛ-МСК),"
ВхШхГ, мм: 440х1150х400
Вес, кг: 11
",['440х1150х400'],Нет в наличии,4 870 руб.,,3,,
"Банкетка двухместная БСУ-2х (кожзам Эконом белый, каркас белый)","
ВхШхГ, мм: 450х1000х380
",['450х1000х380'],Есть в наличии,5 170 руб.,,3,,
"Банкетка двухместная Бп-2х (кожзам Эконом коричневый, каркас бежевый)","
ВхШхГ, мм: 450х1000х380
",['450х1000х380'],Есть в наличии,6 120 руб.,,3,,
"Банкетка трехместная Бп-3х (кожзам Эконом коричневый, каркас бежевый)","
ВхШхГ, мм: 450х1500х380
",['450х1500х380'],Есть в наличии,8 060 руб.,,3,,
"Банкетка трехместная БУ-3х (кожзам Эконом светло-серый, каркас белый)","
ВхШхГ, мм: 530х1500х380
",['530х1500х380'],Есть в наличии,7 520 руб.,,3,,
Банкетка медицинская металлическая,"
ВхШхГ, мм: 450х420х1420
Вес, кг: 15
",['450х420х1420'],Есть в наличии,9 460 руб.,,3,,
Банкетка медицинская МСК-208 (БЛ-МСК),"
ВхШхГ, мм: 830х1500х500
Вес, кг: 20
",['830х1500х500'],Нет в наличии,8 230 руб.,,3,,
Банкетка медицинская Б01 (Чёрный),"
ВхШхГ, мм: 450х980х415
Вес, кг: 8
",['450х980х415'],Есть в наличии,6 110 руб.,,3,,
Банкетка медицинская со спинкой БС01 (Чёрный),"
ВхШхГ, мм: 450х1000х490
Вес, кг: 13
",['450х1000х490'],Есть в наличии,10 170 руб.,,3,,
Банкетка медицинская 4Hospitals МСК-239 (БМ-МСК),"
ВхШхГ, мм: 400х1500х400
Вес, кг: 22
",['400х1500х400'],Нет в наличии,7 140 руб.,,3,,
Диван медицинский (банкетка) Д01 (Чёрный),"
ВхШхГ, мм: 450х1080х510
Вес, кг: 18
",['450х1080х510'],Есть в наличии,12 630 руб.,,3,,
Банкетка медицинская 4Hospitals МСК-240 (БМС-МСК),"
ВхШхГ, мм: 830х1500х500
Вес, кг: 20
",['830х1500х500'],Нет в наличии,10 390 руб.,,3,,
Банкетка одноместная БО-2/1 (кожзам Эконом белый),"
ВхШхГ, мм: 430х600х500
",['430х600х500'],Есть в наличии,10 050 руб.,,3,,
"Банкетка двухместная БО-3/2 (кожзам Эконом белый, каркас черный)","
ВхШхГ, мм: 500х1500х500
",['500х1500х500'],Есть в наличии,14 200 руб.,,3,,
"Банкетка одноместная БО-3/1 (кожзам Эконом белый, каркас белый)","
ВхШхГ, мм: 500х1000х500
",['500х1000х500'],Есть в наличии,9 580 руб.,,3,,
Банкетка медицинская МД Б (Слоновая кость),"
ВхШхГ, мм: 450х1500х450
Вес, кг: 15.3
",['450х1500х450'],Есть в наличии,7 040 руб.,,3,,
Банкетка БМВ-01С,"
ВхШхГ, мм: 830х1500х510
Вес, кг: 25
",['830х1500х510'],Есть в наличии,10 780 руб.,,3,,
Банкетка медицинская МСК-207 (БЛ-МСК),"
ВхШхГ, мм: 400х1500х440
Вес, кг: 14
",['400х1500х440'],Нет в наличии,5 660 руб.,,3,,
Банкетка медицинская со спинкой МД БС (Слоновая кость),"
ВхШхГ, мм: 840х1500х500
Вес, кг: 22.1
",['840х1500х500'],Есть в наличии,10 660 руб.,,3,,
Банкетка БМВ-01,"
ВхШхГ, мм: 430х1500х450
Вес, кг: 15
",['430х1500х450'],Есть в наличии,7 170 руб.,,3,,
Банкетка медицинская МСК-216 (БЛ-МСК),"
ВхШхГ, мм: 440х1150х400
Вес, кг: 11
",['440х1150х400'],Нет в наличии,4 870 руб.,,3,,
"Банкетка двухместная БСУ-2х (кожзам Эконом белый, каркас белый)","
ВхШхГ, мм: 450х1000х380
",['450х1000х380'],Есть в наличии,5 170 руб.,,3,,
"Банкетка двухместная Бп-2х (кожзам Эконом коричневый, каркас бежевый)","
ВхШхГ, мм: 450х1000х380
",['450х1000х380'],Есть в наличии,6 120 руб.,,3,,
"Банкетка трехместная Бп-3х (кожзам Эконом коричневый, каркас бежевый)","
ВхШхГ, мм: 450х1500х380
",['450х1500х380'],Есть в наличии,8 060 руб.,,3,,
"Банкетка трехместная БУ-3х (кожзам Эконом светло-серый, каркас белый)","
ВхШхГ, мм: 530х1500х380
",['530х1500х380'],Есть в наличии,7 520 руб.,,3,,
Банкетка медицинская металлическая,"
ВхШхГ, мм: 450х420х1420
Вес, кг: 15
",['450х420х1420'],Есть в наличии,9 460 руб.,,3,,
Банкетка медицинская МСК-208 (БЛ-МСК),"
ВхШхГ, мм: 830х1500х500
Вес, кг: 20
",['830х1500х500'],Нет в наличии,8 230 руб.,,3,,
Банкетка медицинская Б01 (Чёрный),"
ВхШхГ, мм: 450х980х415
Вес, кг: 8
",['450х980х415'],Есть в наличии,6 110 руб.,,3,,
Банкетка медицинская со спинкой БС01 (Чёрный),"
ВхШхГ, мм: 450х1000х490
Вес, кг: 13
",['450х1000х490'],Есть в наличии,10 170 руб.,,3,,
Банкетка медицинская 4Hospitals МСК-239 (БМ-МСК),"
ВхШхГ, мм: 400х1500х400
Вес, кг: 22
",['400х1500х400'],Нет в наличии,7 140 руб.,,3,,
Диван медицинский (банкетка) Д01 (Чёрный),"
ВхШхГ, мм: 450х1080х510
Вес, кг: 18
",['450х1080х510'],Есть в наличии,12 630 руб.,,3,,
Банкетка медицинская 4Hospitals МСК-240 (БМС-МСК),"
ВхШхГ, мм: 830х1500х500
Вес, кг: 20
",['830х1500х500'],Нет в наличии,10 390 руб.,,3,,
Банкетка одноместная БО-2/1 (кожзам Эконом белый),"
ВхШхГ, мм: 430х600х500
",['430х600х500'],Есть в наличии,10 050 руб.,,3,,
"Банкетка двухместная БО-3/2 (кожзам Эконом белый, каркас черный)","
ВхШхГ, мм: 500х1500х500
",['500х1500х500'],Есть в наличии,14 200 руб.,,3,,
"Банкетка одноместная БО-3/1 (кожзам Эконом белый, каркас белый)","
ВхШхГ, мм: 500х1000х500
",['500х1000х500'],Есть в наличии,9 580 руб.,,3,,
Банкетка медицинская МД Б (Слоновая кость),"
ВхШхГ, мм: 450х1500х450
Вес, кг: 15.3
",['450х1500х450'],Есть в наличии,7 040 руб.,,3,,
Банкетка БМВ-01С,"
ВхШхГ, мм: 830х1500х510
Вес, кг: 25
",['830х1500х510'],Есть в наличии,10 780 руб.,,3,,
Банкетка медицинская МСК-207 (БЛ-МСК),"
ВхШхГ, мм: 400х1500х440
Вес, кг: 14
",['400х1500х440'],Нет в наличии,5 660 руб.,,3,,
Банкетка медицинская со спинкой МД БС (Слоновая кость),"
ВхШхГ, мм: 840х1500х500
Вес, кг: 22.1
",['840х1500х500'],Есть в наличии,10 660 руб.,,3,,
Банкетка БМВ-01,"
ВхШхГ, мм: 430х1500х450
Вес, кг: 15
",['430х1500х450'],Есть в наличии,7 170 руб.,,3,,
Банкетка медицинская МСК-216 (БЛ-МСК),"
ВхШхГ, мм: 440х1150х400
Вес, кг: 11
",['440х1150х400'],Нет в наличии,4 870 руб.,,3,,
"Банкетка двухместная БСУ-2х (кожзам Эконом белый, каркас белый)","
ВхШхГ, мм: 450х1000х380
",['450х1000х380'],Есть в наличии,5 170 руб.,,3,,
"Банкетка двухместная Бп-2х (кожзам Эконом коричневый, каркас бежевый)","
ВхШхГ, мм: 450х1000х380
",['450х1000х380'],Есть в наличии,6 120 руб.,,3,,
"Банкетка трехместная Бп-3х (кожзам Эконом коричневый, каркас бежевый)","
ВхШхГ, мм: 450х1500х380
",['450х1500х380'],Есть в наличии,8 060 руб.,,3,,
"Банкетка трехместная БУ-3х (кожзам Эконом светло-серый, каркас белый)","
ВхШхГ, мм: 530х1500х380
",['530х1500х380'],Есть в наличии,7 520 руб.,,3,,
Банкетка медицинская металлическая,"
ВхШхГ, мм: 450х420х1420
Вес, кг: 15
",['450х420х1420'],Есть в наличии,9 460 руб.,,3,,
Банкетка медицинская МСК-208 (БЛ-МСК),"
ВхШхГ, мм: 830х1500х500
Вес, кг: 20
",['830х1500х500'],Нет в наличии,8 230 руб.,,3,,
Банкетка медицинская Б01 (Чёрный),"
ВхШхГ, мм: 450х980х415
Вес, кг: 8
",['450х980х415'],Есть в наличии,6 110 руб.,,3,,
